Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Area,Reports per 100K Population
"Boston-Cambridge-Newton, MA-NH Metropolitan Statistical Area",136
"Manchester-Nashua, NH Metropolitan Statistical Area",115
"Concord, NH Micropolitan Statistical Area",98
"Claremont-Lebanon, NH-VT Micropolitan Statistical Area",67
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2018 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2019, Federal Trade Commission",
